Table_Id,City,Summary_Level,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100290,Whittier,160,84510,16000US0284510,AK,2,295
100291,Willow,160,85280,16000US0285280,AK,2,2085
100292,Willow Creek,160,85290,16000US0285290,AK,2,8
100293,Wiseman,160,85610,16000US0285610,AK,2,11
100294,Womens Bay,160,85680,16000US0285680,AK,2,852
100295,Wrangell city and borough,160,86380,16000US0286380,AK,2,2387
100296,Yakutat,160,86490,16000US0286490,AK,2,597
100297,Adak,160,65,16000US0200065,AK,2,122
100298,Akhiok,160,650,16000US0200650,AK,2,84
100299,Akiachak,160,760,16000US0200760,AK,2,562
100300,Akiak,160,870,16000US0200870,AK,2,399
100301,Akutan,160,1090,16000US0201090,AK,2,899
100302,Alakanuk,160,1200,16000US0201200,AK,2,777
100303,Alatna,160,1305,16000US0201305,AK,2,1
100304,Alcan Border,160,1390,16000US0201390,AK,2,51
100305,Aleknagik,160,1420,16000US0201420,AK,2,199
100306,Aleneva,160,1560,16000US0201560,AK,2,59
100307,Allakaket,160,1860,16000US0201860,AK,2,77
100308,Ambler,160,1970,16000US0201970,AK,2,280
100309,Anaktuvuk Pass,160,2080,16000US0202080,AK,2,247
100310,Anchorage municipality,160,3000,16000US0203000,AK,2,299107
100311,Anchor Point,160,3110,16000US0203110,AK,2,1951
100312,Anderson,160,3220,16000US0203220,AK,2,201
100313,Angoon,160,3440,16000US0203440,AK,2,382
100314,Aniak,160,3550,16000US0203550,AK,2,525
100315,Anvik,160,3880,16000US0203880,AK,2,87
100316,Arctic Village,160,3990,16000US0203990,AK,2,138
100317,Atka,160,4210,16000US0204210,AK,2,66
100318,Atmautluak,160,4430,16000US0204430,AK,2,258
100319,Atqasuk,160,4500,16000US0204500,AK,2,159
100320,Attu Station,160,4670,16000US0204670,AK,2,16
100321,Badger,160,5000,16000US0205000,AK,2,21197
100322,Barrow,160,5200,16000US0205200,AK,2,4293
100323,Bear Creek,160,5585,16000US0205585,AK,2,1824
100324,Beaver,160,5750,16000US0205750,AK,2,60
100325,Beluga,160,6245,16000US0206245,AK,2,6
100326,Bethel,160,6520,16000US0206520,AK,2,6370
100327,Bettles,160,6630,16000US0206630,AK,2,22
100328,Big Delta,160,6850,16000US0206850,AK,2,539
100329,Big Lake,160,7070,16000US0207070,AK,2,3815
100330,Birch Creek,160,7620,16000US0207620,AK,2,1
100331,Brevig Mission,160,8740,16000US0208740,AK,2,442
100332,Buckland,160,9600,16000US0209600,AK,2,596
100333,Buffalo Soapstone,160,9657,16000US0209657,AK,2,827
100334,Butte,160,9710,16000US0209710,AK,2,3854
100335,Cantwell,160,10150,16000US0210150,AK,2,209
100336,Central,160,11690,16000US0211690,AK,2,58
100337,Chalkyitsik,160,11800,16000US0211800,AK,2,101
100338,Chase,160,12350,16000US0212350,AK,2,23
100339,Chefornak,160,12680,16000US0212680,AK,2,516
100340,Chena Ridge,160,12920,16000US0212920,AK,2,5473
100341,Chenega,160,12970,16000US0212970,AK,2,66
100342,Chevak,160,13230,16000US0213230,AK,2,1082
100343,Chickaloon,160,13340,16000US0213340,AK,2,284
100344,Chicken,160,13450,16000US0213450,AK,2,0
100345,Chignik,160,13550,16000US0213550,AK,2,70
100346,Chignik Lagoon,160,13670,16000US0213670,AK,2,73
100347,Chignik Lake,160,13780,16000US0213780,AK,2,70
100348,Chiniak,160,13860,16000US0213860,AK,2,23
100349,Chisana,160,13890,16000US0213890,AK,2,0
100350,Chistochina,160,14000,16000US0214000,AK,2,59
100351,Chitina,160,14110,16000US0214110,AK,2,80
100352,Chuathbaluk,160,14330,16000US0214330,AK,2,116
100353,Circle,160,14880,16000US0214880,AK,2,118
100354,Clam Gulch,160,15320,16000US0215320,AK,2,182
100355,Clark's Point,160,15430,16000US0215430,AK,2,56
100356,Ashland,160,2860,16000US0102860,AL,1,2667
100357,Ashville,160,2908,16000US0102908,AL,1,2342
100358,Athens,160,2956,16000US0102956,AL,1,23938
100359,Atmore,160,3004,16000US0103004,AL,1,10072
100360,Attalla,160,3028,16000US0103028,AL,1,5965
100361,Auburn,160,3076,16000US0103076,AL,1,58693
100362,Autaugaville,160,3220,16000US0103220,AL,1,1119
100363,Avon,160,3364,16000US0103364,AL,1,594
100364,Axis,160,3508,16000US0103508,AL,1,911
100365,Babbie,160,3556,16000US0103556,AL,1,687
100366,Baileyton,160,3676,16000US0103676,AL,1,909
100367,Bakerhill,160,3724,16000US0103724,AL,1,209
100368,Ballplay,160,3820,16000US0103820,AL,1,1535
100369,Banks,160,3940,16000US0103940,AL,1,136
100370,Bay Minette,160,4660,16000US0104660,AL,1,8843
100371,Bayou La Batre,160,4684,16000US0104684,AL,1,2634
100372,Bear Creek,160,4852,16000US0104852,AL,1,1296
100373,Beatrice,160,4900,16000US0104900,AL,1,294
100374,Beaverton,160,4948,16000US0104948,AL,1,273
100375,Belgreen,160,5140,16000US0105140,AL,1,66
100376,Belk,160,5164,16000US0105164,AL,1,289
100377,Bellamy,160,5188,16000US0105188,AL,1,816
100378,Belle Fontaine,160,5212,16000US0105212,AL,1,539
100379,Benton,160,5692,16000US0105692,AL,1,49
